SDOM,TYPEQU,NOMRS,CAPACITE,type,idINS,lon,lat
C3,C301,ECOLE 2ND DEGRE GENERAL PRIVEE VAL SAINT ANDRE,7,Lycée,r200N2278600E3953800,5.467197149,43.51645708
C3,C301,LYCEE POLYVALENT VAUVENARGUES,1990,Lycée,r200N2280000E3952800,5.455786656,43.52861826
C3,C301,LYCEE MILITAIRE NATIONAL POILUS (BD DES,788,Lycée,r200N2279800E3953200,5.459213598,43.526937
C3,C301,LYCEE POLYVALENT PRIVE STE MARIE,323,Lycée,r200N2280400E3952000,5.446104356,43.53168678
C3,C301,LYCEE GENERAL ET TECHNOLOGIQUE GEORGES DUBY,1550,Lycée,r200N2274800E3949000,5.412411642,43.47992484
C3,C301,LYCEE GENERAL PRIVE NATIVITE (LA,1004,Lycée,r200N2278200E3951000,5.433922726,43.51244512
C3,C301,LYCEE GEN.ET TECHNOL.PRIVE SACRE COEUR (LE,996,Lycée,r200N2280000E3952600,5.453410046,43.52835103
C3,C301,LYCEE GENERAL PRIVE STE CATHERINE DE SIENNE,206,Lycée,r200N2280200E3952600,5.451262481,43.53047587
C3,C301,ECOLE 2D DEGRE GENERAL PRIVEE I.B.S. OF PROVENCE,585,Lycée,r200N2274200E3949800,5.421481557,43.47590436
C3,C302,LP LYCEE DES METIERS GAMBETTA,460,Lycée,r200N2279000E3953000,5.458418806,43.52002772
C3,C302,ECOLE TECHNIQUE PRIVEE SUSINI ESTHETIQUE,,Lycée,r200N2278400E3950800,5.431688772,43.51459452
C3,C302,LYCEE PROFESSIONNEL PRIVE CLOVIS HUGUES,173,Lycée,r200N2279600E3952600,5.452086001,43.52599115
C3,C302,ECOLE 2D DEGRE PROF.PRIVEE ACADEMIE D'ART DENTAIRE,4,Lycée,r200N2278200E3951200,5.436687434,43.51292258
C3,C304,SECTION GEN ET TECHNOL.PRIVEE CLOVIS HUGUES,,Autres,r200N2279600E3952600,5.452086001,43.52599115
C3,C305,SECTION ENSEIGNT PROFESSIONNEL EMILE ZOLA,,Autres,r200N2278000E3952000,5.447405905,43.5109195
C3,C305,SECTION ENSEIGNT PROFESSIONNEL VAUVENARGUES,,Autres,r200N2280000E3952800,5.455786656,43.52861826
C4,C401,ECOLE TECHNIQUE PRIVEE ESUPCOM,,Autres,r200N2278400E3950600,5.429178939,43.51430421
C4,C401,LYCEE TECHNOLOGIQUE PRIVE CELONY,,Autres,r200N2280600E3951400,5.436518602,43.53452309
C4,C401,LYCEE TECHNOLOGIQUE ESDAC (GROUPE IPSAA,,Autres,r200N2280000E3951800,5.442769788,43.52789325
C4,C403,ECOLE TECHNIQUE PRIVEE MERKURE BUSINESS SCHOOL,,Autres,r200N2278600E3950800,5.430440202,43.51485528
C4,C403,ESCAET ESCAET,,Autres,r200N2280400E3952000,5.444262125,43.53255275
C4,C403,ECOLE SUPERIEURE ESARC EVOLUTION,,Autres,r200N2278600E3950800,5.430440202,43.51485528
C4,C403,ECOLE SUPERIEURE TECHNIQUE PRI ESG,,Autres,r200N2278600E3950800,5.430440202,43.51485528
C4,C403,ECOLE SUPERIEURE DE SCIENCES COMMERCIALE ANTENNE D'AIX -MARSEILLE,,Autres,r200N2280000E3950800,5.429108015,43.52844601
C4,C403,ENSEIGNEMENT SUPERIEUR EURIDIS AIX,,Autres,r200N2280600E3952200,5.446062683,43.53509472
C4,C409,ECOLE 2D DEGRE PROF.PRIVEE COURS DIDEROT EDNH - EGPN,,Autres,r200N2278600E3950800,5.432208335,43.51474562
C4,C409,ECOLE DE FORMATION ARTISTIQUE ECOLE DE COMMUNICAT. VISUELLE,,Autres,r200N2278400E3951600,5.442279098,43.51450042
C4,C409,ECOLE SUPERIEUR D'ART ECOLE SUPERIEUR D'ART,,Autres,r200N2280200E3951600,5.44130499,43.53009
C4,C409,CENTRE DE FORMATION DANSE CAFE DANSE,,Autres,r200N2279800E3951600,5.441479498,43.52711135
C4,C409,ECOLE SUPERIEURE D'INFOGRAPHIE BRASSART,,Autres,r200N2278600E3951800,5.444122192,43.51615909
C4,C409,ETABLISSEMENT SUP TECHNIQUE PR AIX Y-NOV CAMPUS,,Autres,r200N2279400E3951000,5.432754318,43.52367527
C4,C409,ECOLE NATIONALE ENTE,,Autres,r200N2276400E3946200,5.375395074,43.49332378
C4,C409,INSTITUT DE FORMATION EURONATURE PROVENCE,,Autres,r200N2284400E3954800,5.477186337,43.57055473
C4,C409,ETAB SUPERIEUR TECH PRIVE ECOLE JAELYS,,Autres,r200N2280400E3948800,5.406186305,43.53074457
C4,C409,ECOLE ENSEIGNEMENT SUPERIEUR PRIVEE CAMPUS EDUCTIVE AIX EN PROVENCE - MAESTRIS,,Autres,r200N2278400E3950600,5.429178939,43.51430421
C4,C409,DIGITAL CAMPUS DIGITAL CAMPUS AIX,,Autres,r200N2278600E3950800,5.430440202,43.51485528
C4,C409,INSTITUT NATIONAL DES FORMATIONS NOTARIALES INFN,,Autres,r200N2279800E3951200,5.435229703,43.52597028
C4,C409,ECOLE ENSEIGNEMENT SUPERIEUR PRIVE ITM GRADUATES SCHOOL,,Autres,r200N2276200E3943200,5.338671829,43.48971307
C4,C409,ECOLE ENSEIGNEMENT SUPERIEUR TECHNIQUE INGENIERIE ET DEVELOPPEMENT,,Autres,r200N2279600E3949200,5.411899245,43.52319131
C4,C409,ECOLE SUPERIEURE TECHNIQUE PRIVEE ECOLE SUPERIEURE ITECOM,,Autres,r200N2280200E3953000,5.457915535,43.53054886
C4,C409,CRR DARIUS MILHAUD CONVERSATOIRE A RAYONNEMENT REGIONAL,,Autres,r200N2279600E3951600,5.439436715,43.52567404
C4,C409,ECOLE FRANCAISE DES ATTACHES DE PRESSE ECOLE FRANCAISE DES ATTACHES DE PRESSE,,Autres,r200N2278600E3951800,5.444122192,43.51615909
C4,C410,INSTITUT DE FORMATION DU GCSPA AIX EN PROVENCE,,Autres,r200N2279400E3951600,5.43950991,43.52301381
C4,C410,GRETA CFA PROVENCE LYCEE EMILE ZOLA,,Autres,r200N2278000E3952000,5.44617032,43.51094737
C4,C410,IRFSS PACA CORSE SITE AIX EN PROVENCE,,Autres,r200N2280200E3953000,5.456922002,43.53120102
C5,C501,ANT UFR SCIENCES AMU UNIVERSITE AIX MARSEILLE,,Autres,r200N2279000E3951600,5.440540498,43.51921192
C5,C501,UFR DROIT SCIENCE POLITIQUE UNIVERSITE AIX MARSEILLE,,Autres,r200N2278800E3952000,5.446922959,43.51871662
C5,C501,UFR MANAGT PU GOUV TERRITORIAL UNIVERSITE AIX MARSEILLE,,Autres,r200N2280200E3952200,5.447024392,43.53122892
C5,C501,UFR ECONOMIE GESTION AIX MARSEILLE UNIVERSITE,,Autres,r200N2278800E3952200,5.449049666,43.51892346
C5,C501,UFR ARTS LETTRES LANGUES SC HU UNIVERSITE AIX MARSEILLE,,Autres,r200N2278800E3952200,5.44804879,43.51779288
C5,C501,ANT EC JOURNALISME COM AMU,,Autres,r200N2280400E3952600,5.451277899,43.53304303
C5,C501,SUFLE AIX MARSEILLE UNIVERSITE,,Autres,r200N2278800E3952200,5.44804879,43.51779288
C5,C502,IUT AIX-MARSEILLE UNIVERSITE AIX MARSEILLE,,Autres,r200N2278200E3952200,5.449953767,43.51266225
C5,C502,ANTENNE INSPE AIX AMU INSPE ACADEMIE AIX MARSEILLE,,Autres,r200N2280400E3952600,5.451277899,43.53304303
C5,C503,ENS ARTS ET METIERS CER AIX ENS ARTS ET METIERS PARIS,,Autres,r200N2280200E3952800,5.456009825,43.53072992
C5,C503,CESI ECOLE ING AIX-EN-PROVENCE CESI PARIS,,Autres,r200N2275000E3947000,5.386439797,43.48124013
C5,C503,ESAIP AIX EN PROVENCE ANGEVINE D'INFORMATIQUE ET DE PRODUCTIQUE,,Autres,r200N2280000E3950800,5.429108015,43.52844601
