idINS,osm_id,name,brand,shop,lon,lat
r200N2252400E3948800,8195328197,Auchan,Auchan,supermarket,5.4249759,43.27929389
r200N2255200E3946800,9677599384,Auchan,Auchan,supermarket,5.3988359,43.30284329
r200N2258400E3947400,69648843,Aldi,Aldi,supermarket,5.40492444,43.33190569
r200N2252400E3961600,92601631,Aldi,Aldi,supermarket,5.581764689,43.28587084
r200N2268200E3919400,99097498,Aldi,Aldi,supermarket,5.051517256,43.4031679
r200N2269200E3917200,99099033,Aldi,Aldi,supermarket,5.025535701,43.41088965
r200N2254400E3948800,158102427,Aldi,Aldi,supermarket,5.423126409,43.29644481
r200N2279000E3914000,224085110,Aldi,Aldi,supermarket,4.977915388,43.4987631
r200N2297000E3957400,287305368,Aldi,Aldi,supermarket,5.500462463,43.68472481
r200N2269400E3937000,436725173,Aldi,Aldi,supermarket,5.269086222,43.42474912
r200N2266800E3926000,1101500221,Aldi,Aldi,supermarket,5.135251807,43.39505509
r200N2279600E3950600,354844814,Aldi,Aldi,supermarket,5.4272867,43.52479929
r200N2293200E3924600,363991782,Aldi,Aldi,supermarket,5.0975081,43.63236509
r200N2241600E3966400,1902948160,Aldi,Aldi,supermarket,5.648818,43.18988519
r200N2275400E3958600,2972823812,Aldi,Aldi,supermarket,5.5299432,43.49127829
r200N2251600E3949000,4000919349,Aldi,Aldi,supermarket,5.4277059,43.27124199
r200N2270200E3970800,4592238688,Aldi,Aldi,supermarket,5.6828988,43.45102369
r200N2268200E3944200,5938432370,Aldi Marché,Aldi,supermarket,5.357863,43.41831209
r200N2257000E3945400,6912384510,Aldi,Aldi,supermarket,5.3814232,43.31780259
r200N2292600E3929200,12346913938,Aldi,Aldi,supermarket,5.155496,43.62980359
r200N2253000E3949400,154576058,Action,Action,variety_store,5.432485551,43.28400935
r200N2289000E3916600,233225890,Action,Action,variety_store,5.002579654,43.58918139
r200N2269000E3945200,680031262,Action,Action,variety_store,5.368649108,43.42544594
