IRIS	nlog	stot	nlog_ccthpV	stot_ccthpV	nlog_ccthpB	stot_ccthpB	nlog_rppoRS	stot_rppoRS	stot_vac	nlog_vac	stot_vac2a	nlog_vac2a	stot_vac5a	nlog_vac5a	INSEE_COM	NOM_COM	CODE_IRIS	NOM_IRIS	TYP_IRIS	geometry
132160104	170	12319	35	2235	0	0	8	571	2235	35	1074	18	618	10	NA	NA	NA	NA	NA	list()
132160105	197	14072	8	413	0	0	15	922	413	8	107	3	77	2	NA	NA	NA	NA	NA	list()
132160201	541	32935	72	3822	0	0	41	2076	3822	72	1023	21	345	6	NA	NA	NA	NA	NA	list()
132160301	1485	83167	279	13238	0	0	43	2465	13238	279	4442	94	1726	36	NA	NA	NA	NA	NA	list()
132160302	417	27223	46	2929	0	0	10	462	2929	46	1792	27	858	11	NA	NA	NA	NA	NA	list()
132160401	1390	91031	143	7892	0	0	40	2416	7892	143	2848	55	1444	29	NA	NA	NA	NA	NA	list()
132160402	57	3750	12	602	0	0	1	68	602	12	152	3	20	1	NA	NA	NA	NA	NA	list()
132160403	1356	96295	118	7682	0	0	41	2707	7682	118	2789	46	1408	24	NA	NA	NA	NA	NA	list()
831200000	3097	262586	224	13749	0	0	174	14650	13749	224	2642	43	1344	22	NA	NA	NA	NA	NA	list()
840890101	2021	114580	421	22187	0	0	62	3538	22187	421	8544	158	4994	96	NA	NA	NA	NA	NA	list()
840890102	1480	101745	200	11613	0	0	46	3514	11613	200	3581	53	1772	21	NA	NA	NA	NA	NA	list()
840890103	1577	129940	112	7185	0	0	49	4265	7185	112	1830	23	665	7	NA	NA	NA	NA	NA	list()
840890104	1368	120989	82	6197	0	0	32	2922	6197	82	1345	14	599	4	NA	NA	NA	NA	NA	list()
840890201	1830	159836	130	9794	0	0	64	5553	9794	130	1715	25	765	12	NA	NA	NA	NA	NA	list()
840890202	1490	122724	131	8960	0	0	24	2186	8960	131	2249	34	961	14	NA	NA	NA	NA	NA	list()
840890203	1593	145804	136	10529	0	0	63	6560	10529	136	2982	40	842	11	NA	NA	NA	NA	NA	list()
NA	2076	160201	222	16092	0	0	129	12539	16092	222	4211	58	2466	32	NA	NA	NA	NA	NA	list()
